Passport,Destination,Requirement
AF,AL,visa required
AF,DZ,visa required
AF,AD,visa required
AF,AO,visa on arrival
AF,AG,e-visa
AF,AR,visa required
AF,AM,visa required
AF,AU,e-visa
AF,AT,visa required
AF,AZ,covid ban
AF,BS,visa required
AF,BH,visa required
AF,BD,visa on arrival
AF,BB,visa required
AF,BY,visa required
AF,BE,visa required
AF,BZ,visa required
AF,BJ,e-visa
AF,BT,visa required
AF,BO,visa on arrival
AF,BA,visa required
AF,BW,visa required
AF,BR,visa required
AF,BN,visa required
AF,BG,visa required
AF,BF,visa required
AF,BI,visa required
AF,KH,visa on arrival
AF,CM,visa required
AF,CA,visa required
AF,CV,visa on arrival
AF,CF,visa required
AF,TD,visa required
AF,CL,visa required
AF,CN,visa required
AF,CO,e-visa
AF,KM,visa on arrival
AF,CG,visa required
AF,CD,visa required
AF,CR,visa required
AF,CI,e-visa
AF,HR,visa required
AF,CU,visa required
AF,CY,visa required
AF,CZ,visa required
AF,DK,visa required
AF,DJ,e-visa
AF,DM,visa required
AF,DO,visa required
AF,EC,visa required
AF,EG,visa required
AF,SV,visa required
AF,GQ,visa required
AF,ER,visa required
AF,EE,visa required
AF,SZ,visa required
AF,ET,e-visa
AF,FJ,visa required
AF,FI,visa required
AF,FR,visa required
AF,GA,e-visa
AF,GM,visa required
AF,GE,visa required
AF,DE,visa required
AF,GH,visa required
AF,GR,visa required
AF,GD,visa required
AF,GT,visa required
AF,GN,e-visa
AF,GW,visa on arrival
AF,GY,visa required
AF,HT,90
AF,HN,visa required
AF,HK,visa required
AF,HU,visa required
AF,IS,visa required
AF,IN,visa required
AF,ID,visa required
AF,IR,visa required
AF,IQ,visa required
AF,IE,visa required
AF,IL,visa required
AF,IT,visa required
AF,JM,visa required
AF,JP,visa required
AF,JO,visa required
AF,KZ,visa required
AF,KE,visa required
AF,KI,visa required
AF,XK,visa required
AF,KW,visa required
AF,KG,e-visa
AF,LA,visa required
AF,LV,visa required
AF,LB,visa required
AF,LS,e-visa
AF,LR,visa required
AF,LY,visa required
AF,LI,visa required
AF,LT,visa required
AF,LU,visa required
AF,MO,visa required
AF,MG,visa on arrival
AF,MW,e-visa
AF,MY,visa required
AF,MV,visa required
AF,ML,visa required
AF,MT,visa required
AF,MH,visa required
AF,MR,visa on arrival
AF,MU,visa required
AF,MX,visa required
AF,FM,30
AF,MD,e-visa
AF,MC,visa required
AF,MN,visa required
AF,ME,visa required
AF,MA,visa required
AF,MZ,visa on arrival
AF,MM,visa required
AF,NA,visa required
AF,NR,visa required
AF,NP,visa required
AF,NL,visa required
AF,NZ,visa required
AF,NI,visa required
AF,NE,visa required
AF,NG,visa on arrival
AF,KP,visa required
AF,MK,visa required
AF,NO,visa required
AF,OM,visa required
AF,PK,visa required
AF,PW,visa on arrival
AF,PS,visa required
AF,PA,visa required
AF,PG,visa required
AF,PY,visa required
AF,PE,visa required
AF,PH,visa required
AF,PL,visa required
AF,PT,visa required
AF,QA,e-visa
AF,RO,visa required
AF,RU,visa required
AF,RW,visa on arrival
AF,KN,e-visa
AF,LC,visa required
AF,WS,visa on arrival
AF,SM,visa required
AF,ST,e-visa
AF,SA,visa required
AF,SN,visa on arrival
AF,RS,visa required
AF,SC,90
AF,SL,visa required
AF,SG,e-visa
AF,SK,visa required
AF,SI,visa required
AF,SB,visa required
AF,SO,visa on arrival
AF,ZA,visa required
AF,KR,visa required
AF,SS,visa required
AF,ES,visa required
AF,LK,visa required
AF,VC,30
AF,SD,visa required
AF,SR,e-visa
AF,SE,visa required
AF,CH,visa required
AF,SY,visa required
AF,TW,visa required
AF,TJ,e-visa
AF,TZ,e-visa
AF,TH,visa required
AF,TL,visa required
AF,TG,visa on arrival
AF,TO,visa required
AF,TT,visa required
AF,TN,visa required
AF,TM,visa required
AF,TV,visa on arrival
AF,TR,visa required
AF,UG,visa on arrival
AF,UA,visa required
AF,AE,e-visa
AF,GB,visa required
AF,US,visa required
AF,UY,visa required
AF,UZ,e-visa
AF,VU,visa required
AF,VA,visa required
AF,VE,visa required
AF,VN,visa required
AF,YE,visa required
AF,ZM,e-visa
AF,ZW,e-visa
AF,AF,-1
AL,AL,-1
AL,DZ,visa required
AL,AD,90
AL,AO,visa on arrival
AL,AG,180
AL,AR,visa required
AL,AM,visa required
AL,AU,e-visa
AL,AT,90
AL,AZ,covid ban
AL,BS,visa required
AL,BH,visa required
AL,BD,visa on arrival
AL,BB,28
AL,BY,30
AL,BE,90
AL,BZ,visa required
AL,BJ,e-visa
AL,BT,visa required
AL,BO,visa on arrival
AL,BA,visa required
AL,BW,visa required
AL,BR,visa required
AL,BN,visa required
AL,BG,90
AL,BF,visa required
AL,BI,visa required
AL,KH,visa on arrival
AL,CM,visa required
AL,CA,visa required
AL,CV,visa on arrival
AL,CF,visa required
AL,TD,visa required
AL,CL,visa required
AL,CN,visa required
AL,CO,visa required
AL,KM,visa on arrival
AL,CG,visa required
AL,CD,visa required
AL,CR,visa required
AL,CI,e-visa
AL,HR,90
AL,CU,visa required
AL,CY,90
AL,CZ,90
AL,DK,90
AL,DJ,e-visa
AL,DM,visa required
AL,DO,visa required
AL,EC,90
AL,EG,visa on arrival
AL,SV,90
AL,GQ,visa required
AL,ER,visa required
AL,EE,90
AL,SZ,visa required
AL,ET,e-visa
AL,FJ,visa required
AL,FI,90
AL,FR,90
AL,GA,e-visa
AL,GM,90
AL,GE,visa required
AL,DE,90
AL,GH,visa required
AL,GR,90
AL,GD,visa required
AL,GT,visa required
AL,GN,e-visa
AL,GW,visa on arrival
AL,GY,visa required
AL,HT,90
AL,HN,visa required
AL,HK,visa required
AL,HU,90
AL,IS,90
AL,IN,e-visa
AL,ID,visa required
AL,IR,visa on arrival
AL,IQ,visa required
AL,IE,visa required
AL,IL,visa required
AL,IT,90
AL,JM,visa required
AL,JP,visa required
AL,JO,visa required
AL,KZ,visa required
AL,KE,visa on arrival
AL,KI,visa required
AL,XK,visa required
AL,KW,visa required
AL,KG,visa on arrival
AL,LA,visa required
AL,LV,90
AL,LB,visa required
